Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C1,C101,C102,C105,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C151,C152,C153,C154,C155,C157,C158,C159,C160,C161,C163,C2,C27,C3,C33,C38,C39,C4,C44,C45,C5,C51,C56,C57,C6,C63,C68,C69,C74,C75,C76,C77,C78,C80,C81,C82,C83,C84,C85,C86,C87,C91,C92,C93,C96,C97,C99",C_0402,C1525,90
0.1uF,"C103,C104,C110,C150,C162,C166,C167,C179,C180,C181,C182,C183,C186,C187,C188,C189,C190,C191,C192,C193,C194,C195,C196,C197,C198,C199,C200,C201,C202,C203,C204,C205,C206,C207,C208,C209,C210,C211,C212,C213,C214,C215,C216,C217,C218,C219,C220,C221,C222,C223,C224,C225,C226,C227,C228,C229,C230,C231,C232,C233,C234,C235,C236,C237,C238,C239,C240,C241,C242,C50,C62,C98",C_0603,C1590,72
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948,1
4.7nF,"C100,C106,C107,C108,C109,C15,C16,C168,C169,C17,C170,C171,C172,C173,C174,C175,C176,C177,C178,C18,C184,C185,C19,C22,C23,C24,C28,C29,C30,C31,C34,C35,C36,C37,C40,C41,C42,C43,C46,C47,C48,C49,C52,C53,C54,C55,C58,C59,C60,C61,C64,C65,C66,C67,C70,C71,C72,C73,C79,C88,C89,C90,C94,C95",C_0402,C23733,64
100R,R113,R_0402_1005Metric,C25076,1
300R,R4,R_0402,C25104,1
10k,R30,R_0402,C25744,1
12k,R35,R_0402,C25752,1
5.1k,"R2,R3",R_0402,C25905,2
1M,R1,R_0402,C26083,1
TPS63001,U85,Texas_DRC0010J_ThermalVias,C28060,1
SLSS49E-3,"U10,U100,U101,U102,U103,U104,U11,U12,U14,U15,U16,U17,U18,U20,U21,U22,U23,U24,U25,U26,U28,U29,U3,U30,U31,U33,U34,U35,U36,U37,U4,U40,U41,U42,U43,U44,U46,U47,U48,U49,U5,U52,U53,U54,U55,U58,U59,U6,U60,U61,U64,U65,U66,U67,U7,U70,U71,U72,U73,U75,U76,U77,U78,U79,U8,U80,U82,U83,U84,U88,U89,U91,U92,U94,U97,U98",SLSS49E_MX_1U,C2977713,76
2.2uH,L1,L_TDK_NLV25_2.5x2.0mm,C3040393,1
12Mhz (15p),Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C341520,1
74HC4051,"U2,U32,U38,U45,U51,U56,U62,U69,U74",SSOP-16_4.4x5.2mm_P0.65mm,C352826,9
SK6812_Mini_E,"RGB1_A1,RGB1_A10,RGB1_A11,RGB1_A12,RGB1_A13,RGB1_A14,RGB1_A15,RGB1_A16,RGB1_A17,RGB1_A18,RGB1_A19,RGB1_A2,RGB1_A20,RGB1_A21,RGB1_A22,RGB1_A23,RGB1_A24,RGB1_A25,RGB1_A26,RGB1_A27,RGB1_A28,RGB1_A29,RGB1_A3,RGB1_A30,RGB1_A31,RGB1_A32,RGB1_A33,RGB1_A34,RGB1_A36,RGB1_A38,RGB1_A4,RGB1_A40,RGB1_A42,RGB1_A43,RGB1_A44,RGB1_A45,RGB1_A5,RGB1_A6,RGB1_A7,RGB1_A8,RGB1_A9,RGB1_B1,RGB1_B10,RGB1_B11,RGB1_B12,RGB1_B13,RGB1_B14,RGB1_B15,RGB1_B16,RGB1_B17,RGB1_B18,RGB1_B19,RGB1_B2,RGB1_B20,RGB1_B21,RGB1_B22,RGB1_B23,RGB1_B24,RGB1_B25,RGB1_B26,RGB1_B27,RGB1_B28,RGB1_B29,RGB1_B3,RGB1_B30,RGB1_B31,RGB1_B4,RGB1_B5,RGB1_B6,RGB1_B7,RGB1_B8,RGB1_B9",SK6812_Mini_E_REV,C524051,72
0.1uF,"C10,C11,C13,C14,C165,C20,C21,C25,C26,C32,C7,C8,C9",C_0402,C52923,13
AMS1117-3.3,U63,SOT-223-3_TabPin2,C6186,1
AT32F405KxU7-4,U27,QFN-32-1EP_4x4mm_P0.4mm_EP2.9x2.9mm_ThermalVias,,1
Conn_01x04,J2,JST-SR-4,,1
AP2112K-3.3,U19,SOT-23-5,,1
1A,F1,Fuse_SMD1206_Reflow,,1
